Hotel,Free parking,Free Wi-Fi,Restaurant,Free breakfast,Pool,Air-Conditioned,Spa,Rating_Normalized,Price_Normalized,Is_5_star,Is_4_star,Is_3_star,Is_2_star,Is_1_star,Is_Guest_House,Is_Bed_Breakfast,Is_hotel,Is_hostel,Is_lodge,Price,Rating,Category
Addissinia Hotel,1,1,0,1,0,0,1,0.6363636364,0.8780285258,0,1,0,0,0,0,0,0,0,0,7508,4.2,4-star hotel
Adey Ababa Stadium Hotel,0,0,0,0,0,0,0,0.7727272727,0.9593290012,0,0,0,0,0,0,0,1,0,0,3592,4.2,Hotel
Afropolitan Hotel Hayahulet | አፍሮፖሊታን ሆቴል ሃያሁለት,1,1,0,0,0,0,0,0.5,0.8882222268,0,0,1,0,0,0,0,0,0,0,7017,4.0,3-star hotel
Ag Palace Hotel | Hayahulet | ኤጂ ፓላስ ሆቴል | ሃያሁለት,1,1,1,0,0,0,0,0.4545454545,0.927938215,0,0,1,0,0,0,0,0,0,0,5104,3.9,3-star hotel
Alem Pension,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,1,1633,4.0,Lodge
Ambassador Hotel,1,1,0,1,0,0,0,0.3636363636,0.8828866236,0,1,0,0,0,0,0,0,0,0,7274,3.6,4-star hotel
Aselefech Merga Hotel and Spa,0,0,0,0,0,0,0,0.3636363636,0.8730873835,0,0,0,0,0,0,0,1,0,0,7746,3.7,Hotel
Averi Hotel,1,1,0,1,0,0,1,0.7727272727,0.9033363091,0,0,0,0,0,0,0,1,0,0,6289,4.4,Hotel
Azzeman Hotel | Atlas | አዜማን ሆቴል | አትላስ |,1,0,0,1,1,0,1,0.5,0.809682978,0,1,0,0,0,0,0,0,0,0,10800,3.9,4-star hotel
Base Ethiopia International Hotel,0,1,0,0,0,1,0,0.5454545455,0.8138351984,0,1,0,0,0,0,0,0,0,0,10600,4.0,4-star hotel
Beta Guest House/ቤታ የእንግዳ ማረፊያ,1,1,0,1,0,0,0,0.5454545455,0.9315506467,0,0,0,0,0,0,1,0,0,0,4930,4.1,Bed & breakfast
Blue Birds International Hotel,0,1,0,0,0,1,0,0.6363636364,0.7702368842,0,0,1,0,0,0,0,0,0,0,12700,4.2,3-star hotel
Bonanza Addis Hotel,1,1,0,0,1,1,1,0.5454545455,0.8926235805,0,1,0,0,0,0,0,0,0,0,6805,4.0,4-star hotel
Brighton Guest House and Cafe,1,1,0,1,0,0,0,0.9090909091,0.9695642245,0,0,0,0,0,0,1,0,0,0,3099,4.4,Bed & breakfast
Capital Hotel and Spa,1,1,0,1,0,1,0,0.6363636364,0.8117590882,1,0,0,0,0,0,0,0,0,0,10700,4.2,5-star hotel
Caravan Hotel | Haya Hulet | ካራቫን ሆቴል | ሃያ ሁለት,1,1,0,1,0,0,0,0.4090909091,0.927938215,0,0,1,0,0,0,0,0,0,0,5104,3.7,3-star hotel
Chab Hotel & Spa,1,1,0,1,0,0,1,0.6818181818,0.942387942,0,0,0,0,0,0,0,1,0,0,4408,4.2,Hotel
Checkinn Hotel,1,1,0,1,0,1,0,0.6818181818,0.9235368613,0,0,0,0,0,0,0,1,0,0,5316,4.3,Hotel
Cheers Bed & Breakfast,0,0,0,0,0,0,0,0.5454545455,0.9464986401,0,0,1,0,0,0,0,0,0,0,4210,4.0,3-star hotel
Daamat Hotel,1,1,0,1,0,0,0,0.7272727273,0.8829073847,0,1,0,0,0,0,0,0,0,0,7273,4.3,4-star hotel
DABI Hotel & Apartments | Lancha | ዳቢ ሆቴል እና አፓርትመንቶች | ላንቻ |,1,1,0,1,0,0,0,0.7727272727,0.8763883987,0,0,0,0,0,0,0,0,0,0,7587,4.3,Furnished apartment building
Daisy Hotel,1,1,0,1,0,0,0,0,0.9212946623,0,0,1,0,0,0,0,0,0,0,5424,3.8,3-star hotel
Daisy Hotel Addis,0,0,0,0,0,0,0,0.5909090909,0.9325887018,0,0,0,0,0,0,0,1,0,0,4880,4.1,Hotel
Danakil Hotel | Piazza | ዳናኪል ሆቴል | ፒያሳ,0,0,0,0,0,0,0,0.8636363636,0.9515228268,0,0,0,0,0,0,0,1,0,0,3968,4.5,Hotel
Daylin Guest House,1,1,0,1,0,1,0,0.9545454545,0.922851745,0,0,0,0,0,0,0,1,0,0,5349,4.8,Hotel
De Leopol Hotel - Bambis | ዲ ሊዮፖል ሆቴል - ባምቢስ,1,1,0,1,0,1,0,0.4545454545,0.8013785372,0,1,0,0,0,0,0,0,0,0,11200,3.8,4-star hotel
Debre Damo Hotel | haya hulet | ደብረ ዳሞ ሆቴል | ሀያ ሁለት,1,1,0,0,0,1,0,0.3181818182,0.8947204518,0,1,0,0,0,0,0,0,0,0,6704,3.5,4-star hotel
"Debre Damo Hotel, Addis Ababa",0,0,0,0,0,0,0,0.4090909091,0.8938069633,0,0,0,0,0,0,0,1,0,0,6748,4.0,Hotel
Denver Boutique Hotel,1,1,0,1,0,0,1,0.5909090909,0.9014678099,0,0,1,0,0,0,0,0,0,0,6379,4.1,3-star hotel
Dreamliner Hotel,0,0,0,0,0,0,0,0.4545454545,0.8867481886,0,1,0,0,0,0,0,0,0,0,7088,3.8,4-star hotel
Eliana Hotel | Piazza,1,1,0,1,0,0,1,0.4545454545,0.8775510204,0,1,0,0,0,0,0,0,0,0,7531,3.8,4-star hotel
Elilly Hotel,1,1,0,1,0,1,0,0.5909090909,0.778541325,1,0,0,0,0,0,0,0,0,0,12300,4.1,5-star hotel
ELMOS HOTEL | Meskel Flower | ኢልሞስ ሆቴል | መስቀል ፍላወር,1,1,0,1,0,0,1,0.5,0.9311561858,0,1,0,0,0,0,0,0,0,0,4949,4.0,4-star hotel
Ethiopian Skylight Hotel,1,1,0,1,0,0,0,0.8636363636,0.5273319908,0,1,0,0,0,0,0,0,0,0,24400,4.7,4-star hotel
FBK Guest House,0,0,0,0,0,0,0,1,0.9161666701,0,0,0,0,0,0,1,0,0,0,5671,4.2,Bed & breakfast
Fountain Hotel & SPA,1,1,0,1,0,0,0,0.4090909091,0.9515228268,0,0,0,0,0,0,0,1,0,0,3968,3.9,Hotel
